Label_Initial_lightloads,# Samples,Average,95% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
LightLoad:Fetch_Index_HTML,10,2,4,1,6,0.00%,0.37038,0.88,0.04
LightLoad:Fetch_Manifest_JS ,10,0,2,0,2,0.00%,0.37043,0.88,0.05
LightLoad:Fetch_Entry_Client_JS ,10,1,2,0,3,0.00%,0.37043,64.31,0.05
LightLoad:Server_Login_Request,10,375,494,280,555,0.00%,0.36657,0.43,0.09
LightLoad:Server_FetchEvents_Request,10,51,103,2,116,0.00%,0.373,0.49,0.05
LightLoad:Server_FetchEventsById_Request,10,69,191,5,198,0.00%,0.37294,0.11,0.18
TOTAL,60,83,488,0,555,0.00%,2.09096,63.13,0.44
,,,,,,,,,
Label_Optimized_lightloads,# Samples,Average,95% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
LightLoad:Fetch_Index_HTML,10,1,3,1,3,0.00%,0.3703,0.88,0.04
LightLoad:Fetch_Manifest_JS ,10,0,1,0,1,0.00%,0.37032,0.88,0.05
LightLoad:Fetch_Entry_Client_JS ,10,1,2,0,2,0.00%,0.37032,64.3,0.05
LightLoad:Server_Login_Request,10,393,503,259,534,0.00%,0.36621,0.7,0.09
LightLoad:Server_FetchEvents_Request,10,50,99,3,122,0.00%,0.37209,0.76,0.05
LightLoad:Server_FetchEventsById_Request,10,88,182,3,189,0.00%,0.37218,0.38,0.18
TOTAL,60,89,491,0,534,0.00%,2.09074,63.89,0.44
,,,,,,,,,
,,,,,,,,,
Label_initial_moderateloads,# Samples,Average,95% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
ModerateLoads:Fetch_Index_HTML,50,2,4,1,6,0.00%,0.85021,2.02,0.1
ModerateLoads:Fetch_Manifest_JS ,50,0,1,0,2,0.00%,0.85024,2.02,0.12
ModerateLoads:Fetch_Entry_Client_JS ,50,1,2,0,2,0.00%,0.85022,147.62,0.12
ModerateLoads:Server_Login_Request,50,306,481,261,542,0.00%,0.84608,1,0.22
ModerateLoads:Server_FetchEvents_Request,50,13,85,2,104,0.00%,0.85298,1.11,0.1
ModerateLoads:Server_FetchEventsById_Request,50,18,132,2,195,0.00%,0.85299,0.24,0.4
TOTAL,300,57,291,0,542,0.00%,4.96491,149.89,1.03
,,,,,,,,,
Label_optimized_moderateloads,# Samples,Average,95% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
ModerateLoads:Fetch_Index_HTML,50,2,4,1,12,0.00%,0.85008,2.02,0.1
ModerateLoads:Fetch_Manifest_JS ,50,0,2,0,2,0.00%,0.85011,2.02,0.12
ModerateLoads:Fetch_Entry_Client_JS ,50,1,2,0,4,0.00%,0.85009,147.6,0.12
ModerateLoads:Server_Login_Request,50,316,492,263,568,0.00%,0.84595,1.63,0.22
ModerateLoads:Server_FetchEvents_Request,50,15,88,2,96,0.00%,0.85372,1.75,0.11
ModerateLoads:Server_FetchEventsById_Request,50,27,162,3,270,0.00%,0.85368,0.87,0.4
TOTAL,300,60,294,0,568,0.00%,4.96171,151.63,1.03
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,